"","ERR475467","ERR475468","ERR475469","ERR475470","ERR475471","ERR475472","ERR475473","ERR475474","ERR475475","ERR475476","ERR475477","ERR475478","ERR475479","ERR475480","ERR475481","ERR475482","ERR475483","ERR475484","ERR475485","ERR475486","ERR475487","ERR475488","ERR475489","ERR475490","ERR475491","ERR475492","ERR475493","ERR475494","ERR475495","ERR475496","ERR475497","ERR475498","ERR475499","ERR475500","ERR475501","ERR475502","ERR475503","ERR475504","ERR475505","ERR475506","ERR475507","ERR475508","ERR475509","ERR475510","ERR475511","ERR475512","ERR475513","ERR475514","ERR475515","ERR475516","ERR475517","ERR475518","ERR475519","ERR475520","ERR475521","ERR475522","ERR475523","ERR475524","ERR475525","ERR475526","ERR475527","ERR475528","ERR475529","ERR475530","ERR475531","ERR475532","ERR475533","ERR475534","ERR475535","ERR475536","ERR475537","ERR475538","ERR475539","ERR475540","ERR475541","ERR475542","ERR475543","ERR475544","ERR475545","ERR475546","ERR475547","ERR475548","ERR475549","ERR475550","ERR475551","ERR475552","ERR475553","ERR475554","ERR475555","ERR475556","ERR475557","ERR475558","ERR475559","ERR475560","ERR475561","ERR475562","ERR475563","ERR475564","ERR475565","ERR475566","ERR475567","ERR475568","ERR475569","ERR475570","ERR475571","ERR475572","ERR475573","ERR475574","ERR475575","ERR475576","ERR475577","ERR475578","ERR475579","ERR475580","ERR475581","ERR475582","ERR475583","ERR475584","ERR475585","ERR475586","ERR475587","ERR475588","ERR475589","ERR475590","ERR475591","ERR475592","ERR475593","ERR475594","ERR475595"
"Veillonellaceae_Dialister",5,2927,7,11,0,3949,4,0,0,167,9,6753,4547,0,0,0,0,0,1724,0,6,0,4,358,753,0,2616,1786,0,0,144,15,2791,13,0,11,47,0,23763,0,0,906,41,5618,10781,3128,0,4904,0,0,0,0,283,0,11931,0,0,2774,0,18,421,73,0,13,4385,1489,0,0,2964,0,7958,0,52,0,2654,0,6505,0,0,0,528,2833,0,3584,4,0,0,0,976,0,0,72,0,12769,0,0,0,1414,365,0,0,1890,0,0,2445,2139,0,3,766,0,868,373,0,0,4955,15,0,0,147,0,0,0,0,0,961,407,3124,0,4
"Enterococcaceae_Enterococcus",0,0,0,0,21,15,0,46,0,38,509,88,0,29,0,245,0,1104,18,45,0,0,0,0,44,0,0,0,0,9,0,5672,0,25,22,1412,238,56,0,0,99,1551,0,633,69,204,0,1061,35,0,0,1474,10004,74,0,0,0,0,2003,1749,5115,0,63,0,0,0,444,0,1397,128,284,0,0,226,0,0,126,28,0,0,0,0,36,67,0,0,1386,0,0,0,0,0,47,288,56,157,0,434,0,0,0,9,15,0,13,142,1490,0,399,335,99,0,0,0,84,45,0,1978,20,28,121,41715,143,0,20,22,0,0,301
"Lachnospiraceae_.Ruminococcus..gnavus.group",0,517,50,0,0,0,0,722,0,416,0,0,0,0,19,148,14,0,0,64,0,0,196,0,467,0,0,64,0,0,398,58,680,68,0,47,1342,224,940,3613,0,0,143,64,2094,0,148,0,32,27,2106,730,48,1182,23,0,1081,816,0,181,0,20,140,63,0,0,1811,180,633,0,0,0,1804,358,0,2118,0,0,0,0,55,0,737,42,870,0,0,0,670,25,0,0,658,0,101,4104,638,0,782,0,21,73,0,0,22,37,0,20,24,0,166,0,1267,142,119,0,0,0,0,12761,7881,25,1347,903,0,157,514,24760,0
"Desulfovibrionaceae_Desulfovibrio",150,566,335,955,11,903,631,283,0,275,255,257,28,58,3,123,18,305,233,0,12,172,50,729,0,0,365,969,399,1244,11,966,932,2729,202,628,687,3366,41145,0,2863,15,6879,0,0,656,1985,617,0,1538,18,22,738,1785,13337,328,0,0,0,1651,917,2615,404,9702,0,0,1338,2474,0,23,1238,0,0,3366,1631,952,510,1952,0,2206,296,157,0,0,288,11,39,19,218,0,1704,268,0,0,372,0,408,22,0,0,3225,87,2040,944,0,0,1614,79,0,0,0,50,0,1924,1219,2723,0,247,1127,0,0,0,6,987,56,210,781,238,0
"Monoglobaceae_Monoglobus",8,196,171,252,376,259,342,369,1160,528,332,398,625,12,88,292,75,118,62,106,112,51,368,668,0,316,1293,124,243,461,3968,653,203,138,2,127,743,1391,893,164,378,3515,275,862,2701,29,1052,281,1830,695,267,110,3213,16,1099,221,0,450,491,573,115,139,65,354,360,331,1036,8946,33,2110,2251,469,61,0,766,511,329,173,0,156,42,718,500,1063,1692,607,95,157,0,601,211,303,188,382,525,0,3322,273,229,886,0,182,807,576,197,55,2281,12987,69,8,902,432,21,99,480,1248,756,798,342,306,1102,0,354,315,34,845,107,0,9
"Lachnospiraceae_Lachnospira",0,508,0,898,731,2172,3210,0,3376,198,1591,1177,444,79,47,90,154,76,258,0,36,2264,901,200,0,207,1875,693,979,208,15300,1663,98,0,0,696,5278,1374,1028,38,1571,1973,0,649,1564,593,314,830,1600,3386,423,0,1248,0,770,1900,0,606,1202,1543,1129,758,20,567,774,1255,0,866,2894,6500,1906,3284,0,13,3315,0,791,0,377,48,116,2193,1957,1289,2602,1747,92,440,0,1819,844,277,172,1875,339,0,882,0,483,891,0,346,830,417,28,173,1111,59,54,0,1199,177,0,16,438,1300,6636,2140,1220,0,2893,5,0,702,0,3215,1171,0,504
"Peptostreptococcaceae_Romboutsia",10,598,399,0,61,126,89,28,122,21,744,271,372,15,178,1141,0,79,19,11,166,1289,240,44,157,0,545,49,369,143,2405,315,1664,569,0,2224,2423,51,495,168,42,349,0,379,4174,71,345,704,720,613,1964,0,1597,0,177,1793,11189,712,404,435,411,40,39,43,10,26,0,245,665,125,943,525,0,0,0,38,440,18,230,396,751,158,1341,2258,12,326,745,22,2104,2262,3293,98,1944,1545,88,0,1390,8,355,839,23,988,510,308,5858,1802,531,65,0,106,166,49,0,67,183,0,233,107,37,527,3941,0,281,29,12,199,678,73,312
"Oscillospiraceae_UCG.005",26,809,610,974,1988,844,229,153,673,21,999,2583,839,27,546,75,276,228,212,0,126,482,75,1356,0,416,1906,76,454,1131,0,870,3783,199,0,1146,4978,3025,7886,29,2825,8212,1211,53,392,1159,3020,2440,2543,2706,0,284,893,204,6213,894,0,1142,3498,2013,2762,380,4,1008,160,5894,783,1718,1885,5816,774,1960,38,54,139,273,2121,2621,1695,3734,1020,5106,503,207,166,180,47,166,15,1656,1031,1550,251,2396,1076,0,1967,0,221,4689,0,557,2161,2460,126,758,5649,163,298,1735,8582,5582,0,1322,946,6932,1764,1862,2476,0,141,0,7821,140,1201,1264,2806,34,320
"Ruminococcaceae_.Eubacterium..siraeum.group",5,106,3919,1527,285,16,352,0,0,63,93,389,169,0,158,18,0,62,0,0,263,161,636,52,0,763,1545,167,148,57,27,0,606,601,0,0,364,8334,4798,139,6910,7595,10144,0,86,24,1875,20,830,684,0,1249,52,0,770,51,0,0,1485,133,685,212,0,621,14,551,0,443,38,12,441,661,0,2299,119,28,452,0,0,416,1752,151,0,50,47,1293,203,0,0,514,0,307,0,1907,134,0,929,0,14,1072,0,71,1109,209,11,292,105,319,0,281,166,3111,0,161,62,751,2160,1083,0,0,0,0,4082,38,22,85,99,0,23
"Bifidobacteriaceae_Bifidobacterium",4,16,9,0,28,0,19,197,9,0,0,775,922,7645,153,370,0,42,0,5028,2703,25,137,25,16,86,58,248,21,511,6097,0,2046,51,60,15416,1002,0,935,0,0,24798,239,2209,50,13718,221,7041,0,152,449,1072,7183,0,837,51,328,8280,399,2298,9,0,0,0,0,258,0,1217,72,0,305,16,0,514,79,1389,0,4631,878,1536,20,157,2036,278,134,0,223,928,81,29,239,176,6081,1559,945,170,227,1151,26,3275,0,27,142,713,1088,5343,192,16,3769,9,262,1231,144,306,79,680,74,62,8,1767,963,5440,89,13,6901,72,179,2048,0
"Erysipelotrichaceae_Holdemanella",57,0,0,289,554,0,0,0,0,0,0,204,690,0,0,2,0,253,515,0,0,1590,0,0,0,0,0,0,0,9,0,0,152,0,0,0,6,0,0,8,0,141,0,0,0,4,2316,651,0,4060,0,0,1061,57,502,314,0,0,4733,3673,2877,130,699,0,0,0,0,0,0,0,14113,0,0,442,1086,0,0,0,0,1879,1123,0,0,0,0,0,0,1774,0,0,0,289,0,0,6159,0,0,559,0,0,0,691,0,0,0,0,0,11070,0,0,0,157,4603,0,361,0,0,0,1640,0,0,0,0,0,4,6,5574,0,3616
"Oscillospiraceae_NK4A214.group",95,891,475,796,1069,1171,193,243,1806,236,370,1371,516,13,782,86,80,149,1629,0,93,9,25,955,0,105,448,418,215,838,0,1179,7089,4092,0,1427,4813,2012,2285,1890,829,6779,28499,0,76,1169,6310,912,3430,1598,0,256,1250,348,3098,490,0,317,647,1698,3677,876,0,7405,0,1967,466,2134,1244,9759,1730,186,0,273,1168,556,428,1624,656,5100,1891,3460,671,788,0,475,132,201,500,3201,4771,1392,0,2790,1532,0,2639,17,0,745,9,426,4759,3034,16,825,1244,27,303,1734,3754,2399,0,1463,1574,4584,421,3882,265,0,286,0,4746,27,91,137,861,0,241
"Peptostreptococcaceae_Intestinibacter",0,772,0,0,0,50,72,0,58,68,1471,588,149,10,0,514,8,990,11,27,118,617,25,183,6,222,1907,535,514,144,2851,1863,37,101,293,97,515,203,448,0,0,3117,0,58,140,0,0,555,14,209,8,0,171,0,16,0,1394,575,703,334,19,0,0,0,2215,35,0,0,952,42,22,280,82,136,0,778,26,86,1031,0,2423,142,6,33,4,0,196,94,0,2782,135,0,478,1144,270,20,152,199,337,297,14,92,142,131,852,499,12,0,0,121,841,64,0,0,143,15,84,530,1312,0,2950,51,125,0,214,986,1228,0,81
"Prevotellaceae_Prevotellaceae.NK3B31.group",0,925,0,47,0,650,0,0,0,746,0,595,0,0,0,0,46,0,203,9,244,0,0,0,446,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9355,0,0,0,0,0,0,0,0,0,0,0,2757,0,0,0,0,0,15,514,0,11,0,0,0,0,4589,0,0,0,16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,0,0,0,0,0,0,0,0,2058,0,0,0,0,0
"Clostridiaceae_Clostridium.sensu.stricto.1",12,3201,143,44,105,173,54,0,9,18,1779,411,309,5,72,205,0,704,7,0,175,4067,72,227,0,62,2471,142,1129,287,5557,585,712,1678,12,1579,4529,123,565,0,19,1201,0,0,420,208,314,599,78,197,46,0,754,0,25,830,1776,125,1299,427,1196,30,968,0,16,57,0,0,1786,730,1538,982,0,0,217,291,386,65,150,28,1070,335,74,768,8,316,924,146,108,9724,784,649,370,6786,616,0,289,0,0,414,49,263,1133,4965,1244,631,267,98,0,148,551,55,0,217,136,17,21,159,1607,297,8265,17,1203,0,181,589,2417,80,225
"Sutterellaceae_Parasutterella",3,446,145,17,192,0,0,0,384,909,211,265,4,0,22,0,0,129,0,0,0,6,0,27,0,0,802,280,285,38,6193,160,0,11,549,627,1418,6367,1822,0,1001,2608,2441,865,2847,0,452,36,0,646,0,83,32,3,401,7,191,925,217,23,227,177,0,0,0,292,313,27,0,182,1371,227,0,12,7,267,53,183,2276,0,0,117,1147,0,1343,0,0,0,164,513,1215,0,0,97,0,0,19,142,1914,108,0,0,543,873,331,82,39,0,0,0,8,81,134,0,20,19,0,682,60,103,0,0,0,0,792,89,68,11,208
"Lachnospiraceae_.Eubacterium..ventriosum.group",0,662,899,352,300,239,231,113,464,312,528,601,361,49,145,268,198,89,15,27,89,197,217,136,300,201,839,13,543,147,1564,2363,0,133,0,244,779,2652,249,168,826,360,158,1290,1854,2162,303,550,1071,861,583,744,420,497,642,220,0,1915,1698,651,433,106,15,1004,318,67,69,541,931,1454,1389,947,0,0,422,1119,530,0,192,214,61,144,2217,1284,1408,184,413,125,390,412,127,212,921,701,952,0,228,0,0,1371,0,17,119,813,1118,750,1094,0,241,0,644,303,0,215,2729,241,1146,2540,70,512,1358,0,23,708,0,1287,110,0,789
"Ruminococcaceae_Incertae.Sedis",24,498,298,127,142,77,147,137,569,199,177,842,408,350,283,434,196,48,37,269,526,57,760,136,58,77,754,548,263,667,613,660,720,299,87,3345,2051,1506,3223,1555,662,2335,16960,52,1542,517,1541,238,789,1139,180,118,1026,288,860,88,190,962,1314,679,595,342,25,582,409,186,254,473,686,2794,1353,204,105,2531,53,766,396,1271,1433,607,1102,490,345,260,84,199,902,282,991,320,1688,1172,830,3129,798,263,846,0,672,1143,66,63,715,2490,481,604,993,977,406,400,630,754,351,310,285,740,542,470,319,1556,562,1529,1103,811,6099,627,250,977,225
"Succinivibrionaceae_Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5665,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,0,0,0,136,0,0,0,0,3132,0,0,0,0,53,0,0,0,0,0,0,0,0,59,0,0,0,0,233,0,0,0,0,0,0,0,15417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,61,0,0,0,0,25,0,0,0,0,0
"Oscillospiraceae_Oscillibacter",29,79,152,246,126,26,37,716,14,105,66,510,27,0,123,0,0,136,8,0,0,11,109,97,79,54,61,197,217,64,368,292,1490,50,930,290,929,1940,3908,0,300,1085,2437,266,657,65,1153,52,94,328,0,303,179,1801,312,116,0,1283,108,115,510,1214,0,2780,785,255,159,202,247,1197,328,341,486,712,77,170,92,580,82,63,131,180,19,12,62,46,24,53,105,103,407,0,11,127,305,951,152,0,475,337,104,117,154,509,109,138,345,242,48,859,1321,0,117,172,358,378,201,84,210,513,55,691,188,298,716,93,192,216,78
"Lachnospiraceae_Sellimonas",6,0,0,0,0,0,0,0,0,75,0,98,0,165,0,2227,0,0,0,0,0,0,79,0,25,0,0,0,0,76,0,0,2384,90,18,15,1416,21,102,11677,0,0,26,100,0,0,11,0,9,0,0,0,0,0,0,0,0,4830,0,0,17,0,0,38,252,24,0,0,6,154,0,0,483,188,0,215,0,428,2206,0,0,0,0,17,0,0,0,0,309,0,471,0,58,134,49,132,776,0,227,0,0,0,0,0,3139,119,0,0,42,0,0,0,0,112,0,257,0,0,0,1485,255,10979,1118,0,1256,0,0,52,37
"Lachnospiraceae_Lachnospiraceae.ND3007.group",0,404,166,47,24,51,24,0,11,0,222,270,0,0,46,0,34,176,0,0,10,260,237,81,0,102,1219,71,176,45,713,1625,172,0,7,210,1505,0,235,0,198,1270,120,68,209,284,65,203,162,679,29,422,83,140,479,721,183,128,267,82,249,27,99,48,454,125,157,153,482,254,266,319,0,11,315,0,181,0,376,0,82,893,185,29,1206,803,32,215,91,977,109,314,27,519,27,78,234,0,418,874,0,46,202,187,13,247,913,152,0,0,140,0,0,220,101,97,2069,1712,928,0,0,0,0,0,0,232,415,0,94
"Veillonellaceae_Megasphaera",0,0,0,239,0,0,0,0,0,0,0,5,0,3499,0,0,0,0,10231,0,0,0,0,0,494,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,33,0,5851,0,6,0,6,7388,21,27,2385,0,2122,5,5751,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,3701,0,6,0,0,0,0,8696,1604,1288,0,0,0,489,20,8,0,409,440,0,0,38,0,0,0,3453,15,0,0,0,0,1403,255,0,0,184,439,0,1005,7,0,0,1467,0,4136,0,0,0,0,44,952,0,0,0,0,0,0,0,0
"Veillonellaceae_Veillonella",4,334,3,5,17,18,24,0,44,81,527,153,128,0,7,33,21,0,83,0,4,29,7,0,0,0,778,143,6,0,2962,1695,33,0,15494,11,0,18,97,0,158,75,0,329,887,69,14,116,41,56,17,9,153,0,343,7,0,231,230,251,324,13,1332,0,131,14,44,135,24,127,181,91,31129,18,13,65,13,17,30,610,16,11,1584,267,450,131,12,21,0,0,6,85,22,54,0,0,944,0,12,0,13,0,62,58,60,0,0,88,30,43,183,9,72,0,17,0,80,27,1194,46,3992,8619,0,32,695,331,300,39,146
"Ruminococcaceae_UBA1819",9,50,100,83,51,38,0,30,65,61,10,201,0,631,103,72,148,13,5,24,22,0,49,139,17,0,0,74,9,98,0,177,740,140,1764,114,150,353,496,2267,153,184,581,166,440,7,135,11,173,52,15,43,745,77,243,0,0,576,23,321,52,101,36,542,14,103,1659,295,104,232,147,0,110,119,0,985,0,53,250,613,101,9,116,28,22,27,173,0,190,12,635,48,368,725,191,718,127,0,69,133,21,6,32,152,498,249,331,1228,375,187,1302,200,453,46,6,259,81,35,63,2363,45,1062,408,81,469,159,14,1235,0
"Lachnospiraceae_CAG.56",0,39,0,328,373,92,85,0,0,132,820,465,133,0,0,0,47,207,0,0,0,172,226,88,0,321,892,0,175,113,1158,0,0,0,0,578,0,0,879,0,836,27,0,388,0,408,155,358,286,1823,129,52,147,285,175,49,105,220,541,554,543,192,989,16,0,0,0,0,153,775,221,433,0,0,559,0,331,0,0,0,0,511,45,187,0,936,225,86,1460,723,26,237,20,42,387,0,2284,0,0,601,0,0,100,87,0,43,507,0,51,0,1630,0,0,0,51,184,160,902,2286,0,0,0,0,0,47,1215,246,0,0
"Desulfovibrionaceae_Bilophila",12,99,105,23,45,0,49,104,441,276,0,89,21,0,118,0,8,30,58,16,0,23,10,67,70,62,73,0,0,39,0,908,100,350,1390,725,503,1444,772,70,405,1376,1328,1183,1005,0,2040,33,237,211,140,575,373,906,873,97,0,499,245,98,51,112,0,283,338,570,318,625,41,89,1187,33,0,1087,543,860,15,210,0,165,7,17,29,21,173,0,0,0,8,0,272,26,36,121,12,205,20,20,289,57,18,0,107,102,0,101,780,0,16,0,81,554,693,643,0,1199,0,0,117,368,57,712,0,194,265,790,0,117,0
"Prevotellaceae_Alloprevotella",7759,0,0,271,0,0,3635,2400,0,2,0,203,0,0,83,0,0,350,506,0,2,0,0,0,0,0,0,0,0,0,0,0,2168,3,0,0,0,0,0,0,3788,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,14492,67,14,0,0,0,8506,0,0,0,243,0,7,0,3557,0,1430,0,0,409,0,1185,0,0,0,0,0,5864,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,555,49,1194,0,0,53,0,6401,0,0,3449,2482,0,0,0,0,0,0,0,5812,0,0
"Streptococcaceae_Lactococcus",0,66,55,6,8,0,0,0,0,6,52,40,38,4,0,118,712,0,5,0,20,468,0,133,26,0,82,40,92,8,0,15,0,53,14,145,34,5754,0,0,22,0,0,183,63,32,24,7,23,0,201,10,1195,316,9,0,655,4448,933,1195,474,7,846,15,0,7,1233,20,92,56,251,16,0,11,0,98,91,61,16,0,0,0,18,5,0,27,39,0,28,135,67,0,9,85,87,13,0,57,0,455,0,117,0,10,410,1466,409,0,0,3,6,24,0,86,52,29,9,44,0,0,346,1821,1608,13,0,27,9,0,0
"Marinifilaceae_Odoribacter",42,103,153,114,179,16,17,11,27,140,103,79,29,0,28,0,7,318,20,0,0,46,0,38,46,18,174,5,114,0,348,49,329,45,0,260,878,611,122,0,368,1330,1090,311,184,9,628,21,0,120,0,171,141,371,1691,17,15,580,123,497,248,264,0,638,2185,407,290,401,773,101,161,350,310,837,703,36,73,473,0,0,597,257,52,16,0,94,0,27,5,167,564,57,0,28,55,0,60,0,83,155,668,307,1225,132,43,57,521,54,21,0,32,187,218,64,39,161,338,347,1639,0,11,0,683,245,262,733,130,33,12
"Oscillospiraceae_Flavonifractor",47,120,47,82,19,0,11,206,120,199,15,82,0,9,0,11,0,12,0,0,0,0,41,74,175,15,68,40,58,82,714,335,183,286,6868,192,753,742,503,309,240,33,2420,175,1665,4,691,0,0,0,0,171,12,593,364,0,0,629,0,0,107,78,162,152,390,59,37,0,77,465,544,70,103,345,0,88,34,44,20,0,0,0,62,28,112,34,30,17,185,0,365,7,0,112,245,501,67,0,274,76,690,67,348,20,87,19,0,103,12,788,418,0,596,186,73,359,35,45,56,3312,37,20,578,318,357,119,77,875,0
"Prevotellaceae_Prevotella",2287,0,8,0,0,0,3908,0,0,0,0,0,0,0,1414,0,0,0,154,0,0,0,0,3,0,0,0,1595,0,0,0,0,64,0,0,0,0,0,81,15,4,7,0,0,0,0,64,677,0,0,0,0,55,0,6,9283,0,0,0,54,2330,3,0,155,25,0,0,0,0,49,0,0,0,0,32564,0,0,0,11,42,0,0,0,84,0,0,0,0,319,0,0,0,0,0,0,0,3,0,0,0,0,1347,17,35,0,0,13,0,0,13,0,733,0,0,0,1019,0,0,1618,0,0,0,0,24354,0,590,5144,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.010",117,13,349,602,117,0,131,404,279,208,5,157,11,5,584,36,73,13,169,0,0,46,32,0,10,4,30,0,29,51,0,1084,48,137,0,171,114,1434,571,0,916,296,542,275,2190,406,1975,25,463,424,0,382,127,1131,3540,352,12,179,92,38,444,300,136,233,1032,152,1591,1077,50,902,261,51,311,874,1482,212,26,0,16,319,17,112,328,388,389,152,0,60,87,66,174,116,0,208,155,52,339,0,15,221,225,297,548,100,65,11,570,154,66,188,280,41,1807,99,98,592,566,52,725,169,0,0,95,1962,60,75,74,22,76
"Lachnospiraceae_.Eubacterium..xylanophilum.group",0,203,752,56,254,114,18,0,100,0,722,261,145,171,22,0,37,81,0,0,20,89,53,145,0,35,747,193,119,208,0,1271,221,309,0,93,2233,523,695,0,3231,729,0,0,0,40,956,160,917,573,0,0,492,0,153,56,0,565,842,693,331,329,19,51,214,712,0,451,0,783,333,1176,0,0,244,61,211,0,146,18,905,381,2653,194,0,68,141,0,0,1292,73,33,8,2286,23,0,1028,0,0,409,0,37,739,703,79,21,247,179,106,0,339,0,0,19,78,285,1158,986,664,0,103,0,0,33,0,200,438,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.004",0,541,95,0,354,286,175,264,196,19,425,100,22,5,59,0,22,201,0,0,0,77,0,22,0,220,596,37,212,0,2442,1616,498,29,341,81,36,230,0,0,2300,696,122,1155,965,201,860,443,56,255,0,537,138,28,906,326,3244,428,372,146,350,382,0,76,1119,298,665,541,669,2515,144,590,441,0,1797,13,127,0,97,12,152,531,257,232,2643,453,37,262,224,613,145,25,0,18,19,24,623,45,702,221,3356,834,106,656,61,0,356,0,0,0,73,20,2253,49,182,41,616,777,281,0,63,133,0,608,251,725,523,0,135
"Oscillospiraceae_UCG.003",21,219,316,403,441,74,91,0,56,0,563,383,167,0,0,0,7,66,207,0,0,151,0,91,0,159,251,0,157,0,0,178,495,0,0,113,188,74,80,0,1862,908,178,0,822,75,1325,195,0,246,0,253,0,222,564,391,12,0,352,405,757,199,9,100,136,0,1230,177,612,759,203,653,0,0,1947,0,197,0,0,30,851,113,69,78,294,746,0,553,0,1203,0,48,0,168,219,0,523,0,0,296,0,615,302,207,0,12,129,0,0,1142,434,0,419,8,103,256,896,263,995,0,22,0,0,44,59,272,291,0,162
"Butyricicoccaceae_Butyricicoccus",0,231,48,102,79,326,393,50,317,229,175,181,145,0,313,83,55,18,33,0,5,449,140,117,135,124,346,118,239,607,1921,1520,114,114,569,603,956,793,960,15,832,1399,307,619,1068,292,1633,270,370,118,85,1198,476,612,1593,242,0,196,252,239,188,160,229,157,136,304,0,79,48,226,340,479,163,73,338,341,49,0,125,81,14,97,37,170,303,69,281,0,77,210,0,56,0,104,100,49,88,0,193,160,333,59,0,918,0,0,172,441,112,0,513,33,144,130,191,270,813,750,104,1002,134,339,24,474,244,583,496,389,282
"Oscillospiraceae_Intestinimonas",0,170,107,230,222,78,36,159,53,48,160,617,0,0,110,51,93,35,123,0,0,58,76,90,16,15,0,117,91,94,13,107,972,1134,1435,173,1243,1906,1420,0,1589,1098,1997,11,1270,287,1501,236,86,548,0,139,0,334,744,59,0,673,51,242,424,552,18,344,654,382,200,200,80,1511,348,0,115,267,239,178,78,124,76,140,51,324,132,12,46,211,27,140,108,172,2281,115,303,403,472,292,169,0,110,368,924,66,1568,342,475,288,209,158,22,2131,964,1074,72,162,196,668,313,198,166,106,40,579,405,121,435,212,454,27,225
"Enterobacteriaceae_Klebsiella",0,47,0,30,0,0,168,0,0,0,16,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,21,0,289,0,0,0,77,0,14,0,0,0,379,0,194,0,0,0,29,182,0,10,0,0,0,9,0,0,0,157,0,0,0,258,7,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,181,0,16699,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0
"Rikenellaceae_Rikenellaceae.RC9.gut.group",0,0,0,0,496,0,92,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,19673,7,0,0,0,0,0,0,0,52,0,0,0,0,247,0,0,0,0,0,0,9,1691,0,0,0,64,38,694,0,0,0,0,497,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4286,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,49,0,0,677,0,0,0,883,0,0,0,0,0,0,0,131,0,576
"Fusobacteriaceae_Fusobacterium",0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,18,0,0,0,0,0,0,0,0,875,0,4,0,0,0,0,3,0,0,0,0,58,0,0,25,7,0,26,3,23,0,86,0,0,244,0,0,13383,0,679,0,0,0,0,0,396,0,161,0,208,32,7,0,5,0,0,4,0,71,100,16,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,134,0,0,0,6,0,0,4,0,0,19710,0,111,5245,0,0,749,0,0,0,0,23166,0,1254,0,0,0
"Prevotellaceae_Paraprevotella",0,705,0,746,1846,423,0,153,0,0,570,6,0,0,102,0,28,66,33,0,0,175,0,0,0,143,0,0,359,0,0,0,2586,0,0,0,0,0,0,0,0,529,0,0,0,178,1541,498,0,693,6,3173,210,3026,0,257,0,0,0,35,1386,337,28,302,0,1646,145,0,0,354,0,0,216,142,797,0,0,521,0,1329,1030,0,0,0,0,0,0,564,0,0,0,0,0,0,160,5909,491,11,0,0,0,0,253,0,0,0,0,0,0,156,85,257,30,571,293,501,0,502,0,0,0,0,0,0,0,0,690,0,0
"Ruminococcaceae_Negativibacillus",48,327,27,915,52,267,54,0,863,224,74,40,0,0,29,17,51,196,39,0,81,21,101,115,0,0,61,0,53,35,0,333,0,159,0,311,363,1324,4157,37,57,26,344,0,135,29,26,186,0,357,42,10,100,0,733,13,0,622,37,19,483,146,632,968,0,23,0,99,252,1043,127,19,402,0,53,1302,126,373,0,4111,0,66,0,39,0,152,0,3,0,79,1102,40,0,233,0,0,122,0,58,111,0,679,373,83,262,163,311,5,33,0,838,0,0,111,321,1332,0,319,132,1264,11,0,1627,702,829,424,96,0,281
"Lactobacillaceae_Lactobacillus",0,14,21,0,0,0,0,109,4,0,14,0,2,19,0,61,17,12,25,0,6,0,27,0,6,0,53,0,0,0,76,143,0,0,8,51,436,80,0,0,0,0,75,129,0,0,0,2,51,184,8,0,31,0,223,0,588,160,165,5,0,0,463,0,46,0,0,166,0,0,69,0,0,0,13,0,0,0,37,13,0,11,20,0,0,0,961,0,31,22,55,20905,123,0,16,86,39,0,36,0,3,33,0,0,60,42,0,103,31,0,0,0,0,23,0,33,9,78,82,1370,20,41,12,0,46,0,8,24,182
