"","ERR3446848","ERR3446849","ERR3446850","ERR3446851","ERR3446852","ERR3446853","ERR3446854","ERR3446855","ERR3446856","ERR3446857","ERR3446858","ERR3446859","ERR3446860","ERR3446861","ERR3446862","ERR3446863","ERR3446864","ERR3446865","ERR3446866","ERR3446867","ERR3446868","ERR3446869","ERR3446870","ERR3446871"
"Ruminococcaceae_Incertae.Sedis",15,3,0,149,95,4,10,9,0,2,0,17,0,100,26,399,32,0,223,18,0,0,37,0
"Desulfovibrionaceae_Bilophila",49,75,0,588,7,38,201,0,40,0,22,12,0,0,26,50,34,9,96,350,99,303,23,0
"Ruminococcaceae_UBA1819",0,0,11,25,19,41,150,0,9,13,11,0,3,0,0,47,15,15,21,11,136,9,5,0
"Erysipelatoclostridiaceae_Erysipelatoclostridium",13,0,59,75,965,34,22,31,0,0,24,0,0,101,0,68,33,7,21,63,47,8,30,0
"Lachnospiraceae_.Eubacterium..eligens.group",136,0,56,8,0,88,17,0,321,4,20,0,0,121,88,95,37,0,50,0,0,0,17,0
"Lachnospiraceae_Lachnospira",225,93,61,288,120,0,0,520,135,0,40,77,0,52,44,10,0,0,0,49,0,0,0,4
"Erysipelotrichaceae_Turicibacter",0,0,412,0,0,0,0,53,0,31,0,0,0,0,12,0,0,0,13,0,0,0,0,0
"Synergistaceae_Cloacibacillus",0,3,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,134,0
"Peptostreptococcaceae_Intestinibacter",0,0,75,0,0,8,0,269,75,63,0,0,0,0,13,35,0,0,214,0,0,0,0,0
"Oscillospiraceae_Flavonifractor",30,0,0,66,204,0,17,0,3,0,0,0,8,74,0,84,28,0,17,12,0,0,0,0
"Prevotellaceae_Paraprevotella",80,0,317,0,0,23,3,0,0,255,67,44,0,497,0,0,53,15,120,0,0,0,0,193
"Marinifilaceae_Odoribacter",35,353,3,0,0,170,18,0,149,0,14,211,0,71,26,0,106,0,27,123,76,127,64,27
"Erysipelotrichaceae_Solobacterium",0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,63,0,0,0
"Monoglobaceae_Monoglobus",42,37,167,18,0,8,16,557,17,42,128,3,0,31,39,6,26,0,28,17,9,0,18,5
"Lachnospiraceae_Tyzzerella",0,7,0,0,380,0,0,0,0,0,0,5,0,0,6,0,0,0,0,18,0,0,0,0
"Peptostreptococcaceae_Romboutsia",10,0,534,47,0,0,0,0,0,0,0,0,0,0,23,50,0,0,0,14,0,0,0,7
"Ruminococcaceae_CAG.352",0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,21
"Lachnospiraceae_Coprococcus",201,18,163,252,147,67,0,136,142,237,17,92,43,48,389,0,214,22,49,21,6,0,195,51
"Erysipelatoclostridiaceae_Candidatus.Stoquefichus",0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Negativibacillus",17,0,26,0,270,34,59,0,42,13,9,13,0,9,0,153,11,21,12,0,0,73,6,5
"Prevotellaceae_Prevotellaceae.UCG.001",0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Family.XI_Parvimonas",0,0,0,0,0,7,0,0,0,0,0,0,181,0,3,0,0,0,0,0,213,0,0,0
"Atopobiaceae_Olsenella",0,33,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,4,0,283,0
"Clostridiaceae_Clostridium.sensu.stricto.1",51,0,250,0,0,36,0,0,35,351,0,0,0,0,12,15,0,0,43,0,0,0,0,10
"Oscillospiraceae_NK4A214.group",17,128,11,0,0,79,429,0,247,11,84,142,91,85,150,187,46,4,132,28,342,13,198,14
"Marinifilaceae_Butyricimonas",9,142,0,0,290,30,440,5,8,142,0,122,17,162,12,22,136,47,24,42,64,106,57,10
"Lactobacillaceae_Ligilactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0
"Oxalobacteraceae_Oxalobacter",0,65,0,0,0,55,90,0,45,0,0,25,0,19,31,0,0,0,0,27,33,16,0,0
"Lachnospiraceae_Tuzzerella",9,0,0,0,814,0,0,0,0,0,0,0,0,172,4,31,0,0,0,0,0,7,6,0
"Oscillospiraceae_Colidextribacter",49,37,0,75,204,21,146,5,13,0,0,36,0,66,13,50,16,8,48,30,23,2,19,12
"Lachnospiraceae_CAG.56",0,24,203,0,0,0,0,0,14,15,0,32,0,0,0,0,0,0,69,0,0,0,0,0
"Erysipelatoclostridiaceae_Catenibacterium",0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,227
"Lachnospiraceae_.Eubacterium..ruminantium.group",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,173
"Lachnospiraceae_.Eubacterium..xylanophilum.group",224,19,0,0,0,0,0,0,40,24,18,0,0,0,35,0,47,0,23,24,4,0,0,9
"Lachnospiraceae_Fusicatenibacter",34,41,362,504,0,0,0,106,15,13,42,0,0,96,53,0,18,0,27,152,0,0,20,3
"Lachnospiraceae_.Ruminococcus..gauvreauii.group",0,0,318,0,0,8,0,29,0,0,0,0,0,0,0,505,0,0,0,93,0,0,29,0
"Enterobacteriaceae_Citrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,137,0
"Lachnospiraceae_.Eubacterium..hallii.group",0,51,120,0,59,12,0,50,13,11,12,17,0,29,41,91,98,59,75,30,0,0,50,8
"Lachnospiraceae_.Eubacterium..ventriosum.group",0,36,0,0,0,0,0,0,15,24,28,0,0,0,48,190,12,0,14,7,0,0,24,342
"Synergistaceae_Synergistes",0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,259,0,0,0
"Eubacteriaceae_Eubacterium",0,0,2,148,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.010",2,9,0,28,0,0,0,0,0,0,12,101,56,0,6,7,8,0,0,14,26,0,0,15
"Barnesiellaceae_Coprobacter",0,17,0,0,111,14,0,4,13,0,0,0,0,47,0,24,4,0,30,0,24,117,8,3
"Bifidobacteriaceae_Bifidobacterium",0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
"Enterobacteriaceae_Klebsiella",0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,74,0,0,0,35,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.004",17,12,0,69,154,0,0,0,46,0,12,0,23,2,17,13,4,0,0,0,0,0,0,0
"Erysipelotrichaceae_Dielma",7,0,0,7,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,6,0
"Lachnospiraceae_Howardella",0,7,17,0,0,0,49,15,17,0,6,0,0,0,0,0,0,0,18,0,6,10,0,6
"Anaerovoracaceae_Family.XIII.AD3011.group",0,19,0,46,26,16,103,3,21,0,6,25,0,7,2,16,82,0,23,31,99,4,12,0
"Lachnospiraceae_Lachnospiraceae.UCG.001",7,39,0,0,3,0,0,47,18,4,28,0,0,55,16,0,0,0,15,0,0,0,10,5
"Veillonellaceae_Megasphaera",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
"Streptococcaceae_Lactococcus",0,0,12,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74,0
"Lactobacillaceae_Weissella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,11,0
"Butyricicoccaceae_Butyricicoccus",0,0,62,113,48,0,6,37,0,9,11,0,0,37,19,34,0,0,14,0,0,0,2,0
"Eggerthellaceae_Senegalimassilia",0,51,77,0,0,5,0,32,0,19,0,0,0,0,0,0,0,28,21,0,0,0,0,18
"Prevotellaceae_Prevotella_7",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,172,0
"Lactobacillaceae_Lactobacillus",0,0,9,15,0,0,0,0,0,0,0,0,4,0,0,0,66,2,0,0,0,0,0,0
"Eggerthellaceae_CHKCI002",0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Hungatella",0,0,0,0,19,0,54,0,0,0,0,18,0,0,0,0,0,0,5,0,119,0,0,0
"Erysipelotrichaceae_Holdemania",0,0,2,9,148,0,0,18,0,0,0,11,0,28,0,0,0,5,16,0,2,8,16,0
"Anaerovoracaceae_.Eubacterium..nodatum.group",0,0,0,0,72,0,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0
"Oscillospiraceae_Intestinimonas",0,0,0,0,44,24,36,0,0,0,0,43,0,35,0,8,13,0,5,0,52,20,0,0
"Enterobacteriaceae_Raoultella",0,0,0,0,0,0,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridiaceae_Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,24,0,0,0,16,0
"Lachnospiraceae_.Ruminococcus..gnavus.group",0,23,0,0,21,0,0,0,0,0,0,0,0,0,0,10,0,43,59,0,0,0,0,0
"Peptococcaceae_Peptococcus",21,0,0,0,0,5,0,0,30,3,0,11,0,24,0,0,0,0,0,40,0,0,0,0
"Gemellaceae_Gemella",0,0,5,0,7,0,0,5,0,7,0,0,0,0,4,4,0,3,0,0,88,0,0,0
"Anaerovoracaceae_Family.XIII.UCG.001",15,6,0,0,0,0,0,0,0,4,0,0,7,21,20,0,0,0,6,5,0,0,9,0
"Erysipelotrichaceae_.Clostridium..innocuum.group",3,0,0,26,43,0,11,0,0,0,0,0,0,0,0,24,0,0,0,0,7,20,0,0
"Ruminococcaceae_Fournierella",0,16,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,0,44,0,0,0,18
"Pasteurellaceae_Aggregatibacter",0,0,0,0,7,0,30,3,0,60,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Actinomycetaceae_Actinomyces",0,0,52,60,37,2,27,17,0,3,0,0,23,0,0,31,17,19,4,0,0,0,11,0
"Oscillospiraceae_Oscillospira",21,0,0,0,47,4,0,0,0,0,0,55,0,9,7,0,12,0,0,41,14,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.003",47,0,0,0,19,0,0,0,36,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Eisenbergiella",0,0,0,18,30,0,31,0,0,0,0,2,0,14,0,73,0,0,0,0,0,34,0,0
"Erysipelotrichaceae_Faecalitalea",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,0,0,0,0
"Erysipelotrichaceae_Erysipelotrichaceae.UCG.006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"Hungateiclostridiaceae_Ruminiclostridium",0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,42,0,0,0,3,0,0,0
"Ruminococcaceae_Candidatus.Soleaferrea",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5,2,47,0,0,0
"Veillonellaceae_Allisonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,15,0
"Peptostreptococcaceae_Terrisporobacter",0,0,0,0,0,0,0,65,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0
