,PRJEB33634_B1,PRJEB33634_B2,PRJEB33634_B3,PRJEB6070_F,PRJNA290926,PRJNA763023_H,Zackular
0,True,False,False,False,False,False,False
1,False,True,False,False,False,False,False
2,False,False,True,False,False,False,False
3,False,False,False,True,False,False,False
4,False,False,False,False,True,False,False
5,False,False,False,False,False,True,False
6,False,False,False,False,False,False,True
